OrgNr;OrgNavnEnhetsreg;Kortnavn;Nivaa;NivaaOpp
1;Nasjonalt;Nasjonalt;0;0
883658752;HELSE NORD RHF;Helse Nord RHF;1;1
983974880;FINNMARKSSYKEHUSET HF;Finnmark HF;2;883658752
974285959;FINNMARKSSYKEHUSET HF SOMATIKK - KARASJOK;Hammerfest;3;983974880
974795833;FINNMARKSSYKEHUSET HF HAMMERFEST SYKEHUS;Hammerfest;3;983974880
979873190;FINNMARKSSYKEHUSET HF SOMATIKK ALTA;Hammerfest;3;983974880
974795930;FINNMARKSSYKEHUSET HF KIRKENES SYKEHUS;Kirkenes;3;983974880
983974899;UNIVERSITETSSYKEHUSET NORD-NORGE HF;UNN HF;2;883658752
974795639;UNIVERSITETSSYKEHUSET NORD-NORGE HF HARSTAD - SOMATIKK;Harstad;3;983974899
974795396;UNIVERSITETSSYKEHUSET NORD-NORGE HF NARVIK - SOMATIKK;Narvik;3;983974899
921837798;UNIVERSITETSSYKEHUSET NORD-NORGE HF AVD FINNSNES- SOMATIKK;Tromsø;3;983974899
921837755;UNIVERSITETSSYKEHUSET NORD-NORGE HF AVD BARDU- SOMATIKK;Tromsø;3;983974899
821847052;UNIVERSITETSSYKEHUSET NORD-NORGE HF AVD STORSLETT- SOMATIKK;Tromsø;3;983974899
974795787;UNIVERSITETSSYKEHUSET NORD-NORGE HF TROMSØ - SOMATIKK;Tromsø;3;983974899
983974910;NORDLANDSSYKEHUSET HF;Nordland HF;2;883658752
974795361;NORDLANDSSYKEHUSET HF SOMATIKK - BODØ;Bodø;3;983974910
993562718;NORDLANDSSYKEHUSET HF HABILITERING/REHAB - BODØ;Bodø;3;983974910
974795558;NORDLANDSSYKEHUSET HF SOMATIKK - GRAVDAL;Lofoten;3;983974910
993573159;NORDLANDSSYKEHUSET HF HABILITERING/REHAB - GRAVDAL;Lofoten;3;983974910
974795574;NORDLANDSSYKEHUSET HF SOMATIKK - STOKMARKNES;Vesterålen;3;983974910
996722201;NORDLANDSSYKEHUSET HF VESTERÅLEN DPS HABILITERING/REHAB - STOKMARKNES;Vesterålen;3;983974910
983974929;HELGELANDSSYKEHUSET HF;Helgeland HF;2;883658752
974795515;HELGELANDSSYKEHUSET HF MO I RANA - SOMATIKK;Mo i Rana;3;983974929
974795485;HELGELANDSSYKEHUSET HF MOSJØEN SOMATIKK/ADMINISTRASJON;Mosjøen;3;983974929
874044342;HELGELANDSSYKEHUSET HF BRØNNØYSUND SOMATIKK;Sandnessjøen;3;983974929
974795477;HELGELANDSSYKEHUSET HF SANDNESSJØEN - SOMATIKK;Sandnessjøen;3;983974929
983658776;HELSE MIDT-NORGE RHF;Helse Midt-Norge RHF;1;1
983974791;HELSE NORD-TRØNDELAG HF;Nord-Trøndelag HF;2;983658776
974754118;HELSE NORD-TRØNDELAG HF SOMATIKK - LEVANGER;Levanger;3;983974791
994958682;HELSE NORD-TRØNDELAG HF SYKEHUSET LEVANGER - REHABILITERING;Levanger;3;983974791
974753898;HELSE NORD-TRØNDELAG HF SOMATIKK - NAMSOS;Namsos;3;983974791
994974270;HELSE NORD-TRØNDELAG HF SYKEHUSET NAMSOS - REHABILITERING;Namsos;3;983974791
883974832;ST. OLAVS HOSPITAL HF;St. Olavs HF;2;983658776
995413388;ST OLAVS HOSPITAL HF REHABILITERING OG HABILITERING HYSNES HELSEFORT;Hysnes helsefort;3;883974832
